2020-08-05 18:17:55.517 [main] INFO  c.v.e.ElasticsearchApplication - The following profiles are active: prod 
2020-08-05 18:17:56.979 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data Elasticsearch repositories in DEFAULT mode. 
2020-08-05 18:17:57.166 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 166ms. Found 1 Elasticsearch repository interfaces. 
2020-08-05 18:17:57.204 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data Reactive Elasticsearch repositories in DEFAULT mode. 
2020-08-05 18:17:57.208 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 3ms. Found 0 Reactive Elasticsearch repository interfaces. 
2020-08-05 18:17:57.556 [main] INFO  o.s.c.context.scope.GenericScope - BeanFactory id=30f38a0f-cc3e-36ff-a17e-e5f82cafcc3f 
2020-08-05 18:17:58.655 [main] WARN  o.s.data.convert.CustomConversions - Registering converter from class org.springframework.data.geo.Point to interface java.util.Map as writing converter although it doesn't convert to a store-supported type! You might want to check your annotation setup at the converter implementation. 
2020-08-05 18:17:58.655 [main] WARN  o.s.data.convert.CustomConversions - Registering converter from interface java.util.Map to class org.springframework.data.geo.Point as reading converter although it doesn't convert from a store-supported type! You might want to check your annotation setup at the converter implementation. 
2020-08-05 18:17:58.656 [main] WARN  o.s.data.convert.CustomConversions - Registering converter from class org.springframework.data.elasticsearch.core.geo.GeoPoint to interface java.util.Map as writing converter although it doesn't convert to a store-supported type! You might want to check your annotation setup at the converter implementation. 
2020-08-05 18:17:58.656 [main] WARN  o.s.data.convert.CustomConversions - Registering converter from interface java.util.Map to class org.springframework.data.elasticsearch.core.geo.GeoPoint as reading converter although it doesn't convert from a store-supported type! You might want to check your annotation setup at the converter implementation. 
2020-08-05 18:17:59.901 [main] INFO  o.s.d.e.support.VersionInfo - Version Spring Data Elasticsearch: 4.0.2.RELEASE 
2020-08-05 18:17:59.901 [main] INFO  o.s.d.e.support.VersionInfo - Version Elasticsearch Client in build: 7.6.2 
2020-08-05 18:17:59.901 [main] INFO  o.s.d.e.support.VersionInfo - Version Elasticsearch Client used: 7.6.2 
2020-08-05 18:18:00.060 [main] WARN  c.n.c.s.URLConfigurationSource - No URLs will be polled as dynamic configuration sources. 
2020-08-05 18:18:00.061 [main] INFO  c.n.c.s.URLConfigurationSource - To enable URLs as dynamic configuration sources, define System property archaius.configurationSource.additionalUrls or make config.properties available on classpath. 
2020-08-05 18:18:00.082 [main] WARN  c.n.c.s.URLConfigurationSource - No URLs will be polled as dynamic configuration sources. 
2020-08-05 18:18:00.083 [main] INFO  c.n.c.s.URLConfigurationSource - To enable URLs as dynamic configuration sources, define System property archaius.configurationSource.additionalUrls or make config.properties available on classpath. 
2020-08-05 18:18:01.397 [main] WARN  o.s.d.e.r.s.AbstractElasticsearchRepository - Cannot create index: Timeout connecting to [localhost/127.0.0.1:9200]; nested exception is java.lang.RuntimeException: Timeout connecting to [localhost/127.0.0.1:9200] 
2020-08-05 18:18:01.967 [main] WARN  o.s.c.l.c.BlockingLoadBalancerClientAutoConfiguration$BlockingLoadBalancerClientRibbonWarnLogger - You already have RibbonLoadBalancerClient on your classpath. It will be used by default. As Spring Cloud Ribbon is in maintenance mode. We recommend switching to BlockingLoadBalancerClient instead. In order to use it, set the value of `spring.cloud.loadbalancer.ribbon.enabled` to `false` or remove spring-cloud-starter-netflix-ribbon from your project. 
2020-08-05 18:18:02.119 [main] INFO  c.v.e.ElasticsearchApplication - Started ElasticsearchApplication in 10.794 seconds (JVM running for 17.176) 
2020-08-05 18:18:07.123 [Thread-29] INFO  c.v.e.ElasticsearchApplication - logging... 9257 
2020-08-05 18:18:12.125 [Thread-29] INFO  c.v.e.ElasticsearchApplication - logging... 4500 
2020-08-05 18:18:17.125 [Thread-29] INFO  c.v.e.ElasticsearchApplication - logging... 5220 
2020-08-05 18:18:22.126 [Thread-29] INFO  c.v.e.ElasticsearchApplication - logging... 4866 
2020-08-05 18:18:27.126 [Thread-29] INFO  c.v.e.ElasticsearchApplication - logging... 5772 
2020-08-05 18:21:37.522 [main] INFO  c.v.e.ElasticsearchApplication - The following profiles are active: prod 
2020-08-05 18:21:37.966 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data Elasticsearch repositories in DEFAULT mode. 
2020-08-05 18:21:38.073 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 101ms. Found 1 Elasticsearch repository interfaces. 
2020-08-05 18:21:38.080 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data Reactive Elasticsearch repositories in DEFAULT mode. 
